SpoolID,Start Date,Processing Time in Days,Finish Date,Due Date,Processing Time,Required Resources,8,Processing time in days = Processign time/8,,,,,Required resources = random number between 2 and 4 inclusive
631001001,2/28/2020,1.252714,2/29/2020,2/29/2020,10.021712,4,,,,,,,
631001002,4/3/2020,1.702860813,4/4/2020,4/5/2020,13.6228865,3,,,,,,,
631001003,4/1/2020,2.084614063,4/3/2020,4/1/2020,16.6769125,2,,,,,,,
631001004,3/31/2020,1.992805,4/1/2020,4/5/2020,15.94244,4,,,,,,,
631001005,2/25/2020,1.041925,2/26/2020,2/28/2020,8.3354,3,,,,,,,
631001006,2/25/2020,1.1353825,2/26/2020,3/25/2020,9.08306,2,,,,,,,
631001007,2/25/2020,1.1353825,2/26/2020,2/27/2020,9.08306,2,,,,,,,
631001008,3/12/2020,1.737834625,3/13/2020,3/15/2020,13.902677,4,,,,,,,
631001009,2/28/2020,3.081986667,3/2/2020,3/1/2020,24.65589333,3,,,,,,,
631001010,1/16/2020,1.324918,1/17/2020,2/19/2020,10.599344,4,,,,,,,
631001011,2/28/2020,12.64306688,3/11/2020,3/27/2020,101.144535,3,,,,,,,
631001012,2/19/2020,28.52122263,3/18/2020,3/27/2020,228.169781,4,,,,,,,
631001013,2/19/2020,2.286953333,2/21/2020,3/27/2020,18.29562667,2,,,,,,,
631001014,2/13/2020,4.124100625,2/17/2020,2/27/2020,32.992805,4,,,,,,,
631001015,4/2/2020,2.500489375,4/4/2020,4/7/2020,20.003915,4,,,,,,,
631001016,2/13/2020,27.24664719,3/11/2020,4/6/2020,217.9731775,3,,,,,,,
631001017,3/26/2020,7.432798125,4/2/2020,4/14/2020,59.462385,2,,,,,,,
631001018,3/19/2020,2.170960833,3/21/2020,4/23/2020,17.36768667,2,,,,,,,
631001019,2/19/2020,4.992805,2/23/2020,3/5/2020,39.94244,4,,,,,,,
631001020,4/1/2020,13.534335,4/14/2020,4/30/2020,108.27468,4,,,,,,,
631001021,2/28/2020,2.773936625,3/1/2020,3/19/2020,22.191493,3,,,,,,,
631001022,2/28/2020,4.394865625,3/3/2020,3/13/2020,35.158925,2,,,,,,,
631001024,3/31/2020,3.391055188,4/3/2020,4/13/2020,27.1284415,4,,,,,,,
631001025,3/31/2020,3.24100625,4/3/2020,4/6/2020,25.92805,4,,,,,,,
631001026,3/26/2020,3.42151625,3/29/2020,3/30/2020,27.37213,4,,,,,,,
631001028,2/13/2020,1.24386375,2/14/2020,4/7/2020,9.95091,2,,,,,,,
631001029,2/13/2020,9.124100625,2/22/2020,3/13/2020,72.992805,2,,,,,,,
631001030,2/19/2020,6.317723,2/25/2020,3/12/2020,50.541784,3,,,,,,,
631001031,4/7/2020,3.065009,4/10/2020,4/18/2020,24.520072,4,,,,,,,
631001032,2/13/2020,2.394865625,2/15/2020,3/5/2020,19.158925,2,,,,,,,
631001034,3/3/2020,8.216888438,3/11/2020,3/28/2020,65.7351075,2,,,,,,,
631001040,3/12/2020,1.130433333,3/13/2020,4/3/2020,9.043466667,4,,,,,,,
631001041,3/12/2020,21.252714,4/2/2020,4/15/2020,170.021712,4,,,,,,,
631001042,3/12/2020,1.34448375,3/13/2020,5/2/2020,10.75587,4,,,,,,,
631001043,5/12/2020,1.094564167,5/13/2020,6/5/2020,8.756513333,4,,,,,,,
631001044,5/12/2020,2.255276667,5/14/2020,6/12/2020,18.04221333,2,,,,,,,
631001045,3/12/2020,28.26286769,4/9/2020,4/24/2020,226.1029415,4,,,,,,,
631001046,3/12/2020,1.125775,3/13/2020,4/6/2020,9.0062,2,,,,,,,
631001047,5/12/2020,1.068943333,5/13/2020,5/28/2020,8.551546667,4,,,,,,,
631001048,3/12/2020,1.327174375,3/13/2020,3/28/2020,10.617395,4,,,,,,,
631001049,3/12/2020,3.438864938,3/15/2020,5/5/2020,27.5109195,3,,,,,,,
631001050,3/12/2020,4.262867688,3/16/2020,6/17/2020,34.1029415,2,,,,,,,
631001051,3/12/2020,1.125775,3/13/2020,4/3/2020,9.0062,3,,,,,,,
631001052,5/12/2020,1.801013125,5/13/2020,6/12/2020,14.408105,3,,,,,,,
631001053,3/12/2020,1.089905833,3/13/2020,5/2/2020,8.719246667,3,,,,,,,
631001054,3/12/2020,1.614862188,3/13/2020,5/5/2020,12.9188975,3,,,,,,,
631001055,1/16/2020,1.11529375,1/17/2020,3/27/2020,8.92235,3,,,,,,,
631001056,1/16/2020,3.056409375,1/19/2020,3/12/2020,24.451275,3,,,,,,,
631001057,1/16/2020,16.11281875,2/1/2020,2/18/2020,128.90255,3,,,,,,,
631001058,3/26/2020,2.141023438,3/28/2020,3/28/2020,17.1281875,2,,,,,,,
631001059,2/19/2020,8.141023438,2/27/2020,4/24/2020,65.1281875,3,,,,,,,
631001060,1/16/2020,3.253842188,1/19/2020,3/16/2020,26.0307375,2,,,,,,,
631001061,1/16/2020,1.270765,1/17/2020,2/7/2020,10.16612,4,,,,,,,
631001062,4/13/2020,2.028204688,4/15/2020,4/21/2020,16.2256375,2,,,,,,,
631001063,4/1/2020,4.058229167,4/5/2020,5/11/2020,32.46583333,3,,,,,,,
631001064,2/28/2020,2.19565,3/1/2020,3/28/2020,17.5652,4,,,,,,,
631001065,3/19/2020,1.29332875,3/20/2020,3/29/2020,10.34663,2,,,,,,,
631001066,4/30/2020,1.084614063,5/1/2020,5/11/2020,8.6769125,4,,,,,,,
631001067,2/28/2020,1.282046875,2/29/2020,4/8/2020,10.256375,2,,,,,,,
631001068,4/1/2020,2.9476775,4/3/2020,4/18/2020,23.58142,2,,,,,,,
631001069,4/16/2020,3.0018305,4/19/2020,4/20/2020,24.014644,4,,,,,,,
631001070,2/4/2020,1.282046875,2/5/2020,3/27/2020,10.256375,4,,,,,,,
631001071,2/4/2020,1.124100625,2/5/2020,2/20/2020,8.992805,3,,,,,,,
631001072,3/31/2020,1.423070313,4/1/2020,4/6/2020,11.3845625,3,,,,,,,
631001073,2/4/2020,24.02820469,2/28/2020,4/14/2020,192.2256375,4,,,,,,,
631001074,2/4/2020,2.169228125,2/6/2020,3/4/2020,17.353825,2,,,,,,,
631001075,2/4/2020,1.05240625,2/5/2020,3/23/2020,8.41925,3,,,,,,,
631001076,2/4/2020,1.2256375,2/5/2020,3/4/2020,9.8051,3,,,,,,,
631001077,2/4/2020,14.05640938,2/18/2020,3/16/2020,112.451275,4,,,,,,,
631001078,4/16/2020,1.1187875,4/17/2020,5/8/2020,8.9503,3,,,,,,,
631001079,2/13/2020,1.304610625,2/14/2020,3/19/2020,10.436885,3,,,,,,,
631001080,2/13/2020,3.124100625,2/16/2020,3/28/2020,24.992805,3,,,,,,,
631001082,2/4/2020,2.11281875,2/6/2020,2/21/2020,16.90255,4,,,,,,,
631001083,2/19/2020,4.141023438,2/23/2020,3/28/2020,33.1281875,4,,,,,,,
631001084,2/4/2020,17.08461406,2/21/2020,5/2/2020,136.6769125,4,,,,,,,
631001085,2/25/2020,3.451275,2/28/2020,4/9/2020,27.6102,3,,,,,,,
631001086,2/28/2020,2.394865625,3/1/2020,4/3/2020,19.158925,4,,,,,,,
631001087,4/1/2020,2.028204688,4/3/2020,5/29/2020,16.2256375,4,,,,,,,
631001088,2/4/2020,4.282046875,2/8/2020,3/4/2020,34.256375,4,,,,,,,
631001089,3/26/2020,8.667887,4/3/2020,4/18/2020,69.343096,4,,,,,,,
631001090,2/4/2020,2.974754,2/6/2020,3/29/2020,23.798032,3,,,,,,,
631001091,2/28/2020,2.2256375,3/1/2020,4/6/2020,17.8051,4,,,,,,,
631001092,2/4/2020,2.282046875,2/6/2020,4/6/2020,18.256375,2,,,,,,,
631001093,4/1/2020,1.169228125,4/2/2020,4/13/2020,9.353825,2,,,,,,,
631001094,2/4/2020,1.349738125,2/5/2020,3/4/2020,10.797905,2,,,,,,,
631001095,2/19/2020,9.141023438,2/28/2020,4/27/2020,73.1281875,2,,,,,,,
631001096,5/1/2020,2.056409375,5/3/2020,6/4/2020,16.451275,4,,,,,,,
631001097,2/13/2020,5.575375625,2/18/2020,3/9/2020,44.603005,4,,,,,,,
631001098,2/13/2020,8.462556875,2/21/2020,3/17/2020,67.700455,4,,,,,,,
631001099,2/28/2020,1.462556875,2/29/2020,4/13/2020,11.700455,2,,,,,,,
631001100,2/8/2020,6.18051,2/14/2020,3/12/2020,49.44408,2,,,,,,,
631001102,2/8/2020,2.18051,2/10/2020,3/12/2020,17.44408,4,,,,,,,
631001103,2/28/2020,1.1353825,2/29/2020,3/28/2020,9.08306,2,,,,,,,
631001104,3/31/2020,1.631785,4/1/2020,4/13/2020,13.05428,3,,,,,,,
631001105,3/31/2020,4.062421667,4/4/2020,4/7/2020,32.49937333,2,,,,,,,
631001106,2/28/2020,1.234663,2/29/2020,3/28/2020,9.877304,2,,,,,,,
631001107,3/17/2020,1.0631785,3/18/2020,3/30/2020,8.505428,3,,,,,,,
631001108,3/26/2020,2.260400833,3/28/2020,4/20/2020,18.08320667,4,,,,,,,
631001109,4/1/2020,2.568180625,4/3/2020,4/18/2020,20.545445,2,,,,,,,
631001110,3/26/2020,1.7671675,3/27/2020,4/17/2020,14.13734,4,,,,,,,
631001111,2/13/2020,1.281829167,2/14/2020,3/24/2020,10.25463333,2,,,,,,,
631001112,2/13/2020,1.246891667,2/14/2020,4/18/2020,9.975133333,2,,,,,,,
631001113,2/13/2020,6.282046875,2/19/2020,3/17/2020,50.256375,2,,,,,,,
631001114,2/13/2020,7.282046875,2/20/2020,3/17/2020,58.256375,4,,,,,,,
631001115,2/13/2020,5.29332875,2/18/2020,3/9/2020,42.34663,4,,,,,,,
631001116,3/31/2020,2.0631785,4/2/2020,4/7/2020,16.505428,4,,,,,,,
631002001,4/1/2020,8.252714,4/9/2020,4/15/2020,66.021712,2,,,,,,,
631002002,4/15/2020,1.702860813,4/16/2020,4/21/2020,13.6228865,3,,,,,,,
631002003,4/1/2020,2.084614063,4/3/2020,4/19/2020,16.6769125,3,,,,,,,
631002004,3/31/2020,1.992805,4/1/2020,4/6/2020,15.94244,4,,,,,,,
631002005,2/28/2020,1.069875,2/29/2020,3/28/2020,8.559,2,,,,,,,
631002006,2/28/2020,1.1353825,2/29/2020,3/27/2020,9.08306,2,,,,,,,
631002007,2/28/2020,1.1353825,2/29/2020,3/27/2020,9.08306,4,,,,,,,
631002008,2/28/2020,1.613734,2/29/2020,3/20/2020,12.909872,2,,,,,,,
631002009,2/28/2020,1.115526667,2/29/2020,3/28/2020,8.924213333,4,,,,,,,
631002010,2/28/2020,2.324918,3/1/2020,3/27/2020,18.599344,2,,,,,,,
631002011,3/25/2020,2.643066875,3/27/2020,3/29/2020,21.144535,2,,,,,,,
631002012,4/1/2020,2.432798125,4/3/2020,4/20/2020,19.462385,3,,,,,,,
631002013,3/19/2020,1.828089625,3/20/2020,4/20/2020,14.624717,3,,,,,,,
631002014,2/28/2020,2.992805,3/1/2020,3/13/2020,23.94244,4,,,,,,,
631002015,4/14/2020,2.353825,4/16/2020,5/8/2020,18.8306,2,,,,,,,
631002016,2/13/2020,1.124100625,2/14/2020,3/4/2020,8.992805,2,,,,,,,
631002017,2/28/2020,2.317723,3/1/2020,3/17/2020,18.541784,3,,,,,,,
631002018,2/28/2020,1.593426625,2/29/2020,3/19/2020,12.747413,3,,,,,,,
631002019,2/28/2020,1.394865625,2/29/2020,3/13/2020,11.158925,2,,,,,,,
631002020,5/6/2020,2.7671675,5/8/2020,5/13/2020,22.13734,4,,,,,,,
631002021,3/19/2020,4.198837438,3/23/2020,4/21/2020,33.5906995,4,,,,,,,
631002022,4/17/2020,2.992805,4/19/2020,4/20/2020,23.94244,4,,,,,,,
631002023,2/21/2020,2.365106875,2/23/2020,4/20/2020,18.920855,3,,,,,,,
631002025,2/28/2020,1.701732625,2/29/2020,3/17/2020,13.613861,4,,,,,,,
631002026,2/28/2020,1.286953333,2/29/2020,3/27/2020,10.29562667,2,,,,,,,
631002027,2/13/2020,7.124100625,2/20/2020,3/4/2020,56.992805,3,,,,,,,
631002028,4/2/2020,3.500489375,4/5/2020,4/7/2020,28.003915,3,,,,,,,
631002029,2/28/2020,1.27600625,2/29/2020,4/17/2020,10.20805,4,,,,,,,
631002030,3/3/2020,8.066137188,3/11/2020,4/1/2020,64.5290975,3,,,,,,,
631002031,4/1/2020,3.42151625,4/4/2020,4/19/2020,27.37213,3,,,,,,,
631002032,4/7/2020,2.461002813,4/9/2020,4/19/2020,19.6880225,2,,,,,,,
631002033,4/17/2020,2.2184425,4/19/2020,4/20/2020,17.74754,3,,,,,,,
631002034,3/19/2020,3.394865625,3/22/2020,4/18/2020,27.158925,2,,,,,,,
631002040,5/20/2020,8.451275,5/28/2020,6/16/2020,67.6102,3,,,,,,,
631002041,5/10/2020,2.33330375,5/12/2020,6/10/2020,18.66643,2,,,,,,,
631002042,5/20/2020,1.458044125,5/21/2020,6/16/2020,11.664353,3,,,,,,,
631002043,5/20/2020,1.255276667,5/21/2020,6/18/2020,10.04221333,3,,,,,,,
631002044,5/20/2020,9.587785688,5/29/2020,6/23/2020,76.7022855,3,,,,,,,
631002045,5/20/2020,1.1635075,5/21/2020,6/16/2020,9.30806,4,,,,,,,
631002046,5/20/2020,2.438864938,5/22/2020,6/23/2020,19.5109195,3,,,,,,,
631002047,5/20/2020,4.587785688,5/24/2020,6/18/2020,36.7022855,2,,,,,,,
631002048,5/23/2020,4.269251667,5/27/2020,7/17/2020,34.15401333,3,,,,,,,
631002049,5/20/2020,1.614862188,5/21/2020,7/7/2020,12.9188975,3,,,,,,,
631002050,2/28/2020,3.462556875,3/2/2020,3/28/2020,27.700455,3,,,,,,,
631002051,5/6/2020,1.141023438,5/7/2020,5/12/2020,9.1281875,3,,,,,,,
631002053,2/4/2020,2.056409375,2/6/2020,2/21/2020,16.451275,3,,,,,,,
631002054,2/4/2020,7.11281875,2/11/2020,3/17/2020,56.90255,3,,,,,,,
631002055,5/6/2020,2.253842188,5/8/2020,6/4/2020,18.0307375,3,,,,,,,
631002056,5/6/2020,2.141023438,5/8/2020,5/12/2020,17.1281875,2,,,,,,,
631002057,2/28/2020,1.028204688,2/29/2020,4/18/2020,8.2256375,2,,,,,,,
631002058,2/28/2020,2.282046875,3/1/2020,4/3/2020,18.256375,3,,,,,,,
631002059,5/1/2020,1.084614063,5/2/2020,5/11/2020,8.6769125,4,,,,,,,
631002060,2/4/2020,9.282046875,2/13/2020,4/15/2020,74.256375,2,,,,,,,
631002061,3/31/2020,2.141023438,4/2/2020,4/3/2020,17.1281875,4,,,,,,,
631002062,3/25/2020,2.05240625,3/27/2020,3/28/2020,16.41925,2,,,,,,,
631002063,3/25/2020,3.2256375,3/28/2020,3/28/2020,25.8051,2,,,,,,,
631002067,3/25/2020,2.08385,3/27/2020,3/29/2020,16.6708,3,,,,,,,
631002068,3/25/2020,1.4061475,3/26/2020,3/30/2020,11.24918,4,,,,,,,
631002071,3/12/2020,2.124100625,3/14/2020,3/27/2020,16.992805,4,,,,,,,
631002073,5/6/2020,1.029114583,5/7/2020,6/3/2020,8.232916667,4,,,,,,,
631002074,5/6/2020,2.084614063,5/8/2020,6/4/2020,16.6769125,4,,,,,,,
631002075,5/20/2020,5.282046875,5/25/2020,6/23/2020,42.256375,2,,,,,,,
631002076,5/20/2020,4.1187875,5/24/2020,6/18/2020,32.9503,2,,,,,,,
631002077,3/12/2020,1.093166667,3/13/2020,4/21/2020,8.745333333,3,,,,,,,
631002078,4/14/2020,2.394865625,4/16/2020,6/8/2020,19.158925,3,,,,,,,
